name	group	group2	lifestyle	SS	sourceClass	lat	lon
Marinobacter_adhaerens_HP15	I	adhaerens	alga	Phototroph	Phototroph	53.7222	7.7222
Marinobacter_adhaerens_strain_PBVC038	I	adhaerens	alga	Phototroph	Phototroph	6.05	116.7
Marinobacter_algicola_DG893	X	algicola	alga	Phototroph	Phototroph		
Marinobacter_antarcticus_CGMCC1_10835	IV	antarcticus	polar	Polar	Antarctic	-69.3717	76.3742
Marinobacter_aromaticivorans_strain_D15_8P	IV	antarcticus					
Marinobacter_daepoensis_DSM_16072	VIII	hydrocarbo	other	Photic	tidal_flat	33.244875	124.410035
Marinobacter_dagiaonensis_CGMCC_1_9167	XII	other					
Marinobacter_excellens_HL_55	VI	excellens	alga	Photic	microbial_mat	48.9731	-119.4769
Marinobacter_excellens_LAMA_842	VI	excellens	other	Sediment	sediment	-23.3	-4.17
Marinobacter_flavimaris	I	adhaerens					
Marinobacter_guaonensis_CGCC_1_6294	-	other	other	Oil	oil	37.8628	118.8087
Marinobacter_guineae_strain_M3B	II	adhaerens	other	sediment	sediment		
Marinobacter_hydrocarbonoclasticus_ASM1536	VIII	hydrocarbo	other	Oil	oil	8.3751	108.7062
Marinobacter_hydrocarbonoclasticus_ATCC_49840	VIII	hydrocarbo	other	Oil	oil	43.3897	4.8823
Marinobacter_hydrocarbonoclasticus_STW2	VI	excellens	alga	Sediment	sediment	18.40696667	110.0083333
Marinobacter_lipoliticus_BF04_CF_4	V	psychro	polar				
Marinobacter_lipolyticus_SM19	XI	lipo	other	Terrestial	saline_soil	36.4276	-6.1999
Marinobacter_lutaoensis_T5054	IX	other	other	Photic	hot_spring	22.6369	121.5039
Marinobacter_manganoxydans_MnI7_9	I	adhaerens	other	Hydrothermal_Vent	hydrothermal_vent	-25.32	70.04
Marinobacter_mobilis_GCMCC_1_7059	XIV	other	other	Sediment	sediment		
Marinobacter_nanhaiticus_D15_8W	XIII	other	other	Sediment	sediment	19.977	111.421
Marinobacter_nitrareduscens_AK21	-	other	other	Photic	Surface	17.7817	83.3862
Marinobacter_pelagius_CGMCC_1_6775	IX	other	other	Photic	Surface	29.7703	123.7061
Marinobacter_persicus_IBRC_M_10445	-	other	other	Lake	lake	34.5733	52.1706
Marinobacter_psychrophilus_20041	V	psychro	polar	Polar	Antarctic		
Marinobacter_salarius_SMR5	X	algicola	alga	Photic	Surface	55.986	12.7337
Marinobacter_salexigens_strain_HJR7	IV	antarcticus	other	Sediment	coastal		
Marinobacter_salinus_Hb8	III	adhaerens	other	Photic	tidal_flat	36	126.7166667
Marinobacter_santoriniensis_NKSG1	IX	other	other	Hydrothermal_Vent	hydrothermal_vent		
Marinobacter_segnicrescens_CGMCC_1_6489	XII	other	other	Sediment	sediment		
Marinobacter_sp_AC_23	IV	antarcticus	polar	Polar	Arctic	79.0046	11.6409
Marinobacter_sp_ANT_B65	IV	antarcticus	polar	Polar	sponge		
Marinobacter_sp_BSs20148	V	psychro	polar	Polar	Arctic	78.3872	149.1153
Marinobacter_sp_C18	X	algicola	algae	Phototroph	Phototroph	40.49	14.15
Marinobacter_sp_C1S70	VIII	hydrocarbo	other	Oil	oil	30.3256	-87.1744
Marinobacter_sp_CP1	I	adhaerens	other	Photic	Surface		
Marinobacter_sp_CPC8	X	algicola	other	Photic			
Marinobacter_sp_DG879	III	adhaerens					
Marinobacter_sp_DSM_26291	X	algicola	other				
Marinobacter_sp_DSM_26671	I	adhaerens	other				
Marinobacter_sp_EhC06	I	adhaerens	alga	Phototroph	Phototroph	-2.6667	-82.7167
Marinobacter_sp_EhN04	I	adhaerens	alga	Phototroph	Phototroph	-2.6667	-82.7167
Marinobacter_sp_ELB17	V	psychro	polar	Polar	Antarctic	-77.7333	162.1667
Marinobacter_sp_EN3	VIII	hydrocarbo	other	Oil	oil	29.1785	-90.0692
Marinobacter_sp_ES_042	I	adhaerens	other	Photic	microbial_mat	36.81	-121.79
Marinobacter_sp_ES_048	I	adhaerens	other	Photic	microbial_mat	36.81	-121.79
Marinobacter_sp_ES_1	VII	vinifirmus	other	Oil	oil	29.1785	-90.0692
Marinobacter_sp_EVN1	VIII	hydrocarbo	other	Oil	oil	30.3256	-87.1744
Marinobacter_sp_FDB33	XI	lipo	alga	Phototroph	algal		
Marinobacter_sp_HK15	X	algicola	alga	Phototroph	Phototroph		
Marinobacter_sp_HL_58	X	algicola	alga	Photic	microbial_mat	48.9731	-119.4769
Marinobacter_sp_IN6	I	adhaerens	other	Photic			
Marinobacter_sp_LQ44	VI	excellens	other	Hydrothermal_Vent	hydrothermal_vent	4.31	-102.56
Marinobacter_sp_LV10MA510_1	V	psychro	polar	Polar	Antarctic	-77.3885	161.931
Marinobacter_sp_LV10R510_11A	IV	antarcticus	polar	Polar	Antarctic	-77.3885	161.931
Marinobacter_sp_LV10R510_8	IV	antarcticus	polar	Polar	Antarctic	-77.3885	161.931
