domain	Marinobacter_adhaerens_HP15	Marinobacter_adhaerens_strain_PBVC038	Marinobacter_algicola_DG893	Marinobacter_antarcticus_CGMCC1_10835	Marinobacter_aromaticivorans_strain_D15-8P	Marinobacter_daepoensis_DSM_16072	Marinobacter_dagiaonensis_CGMCC_1_9167	Marinobacter_excellens_HL-55	Marinobacter_excellens_LAMA_842	Marinobacter_flavimaris	Marinobacter_guaonensis_CGCC_1_6294	Marinobacter_guineae_strain_M3B	Marinobacter_hydrocarbonoclasticus_ASM1536	Marinobacter_hydrocarbonoclasticus_ATCC_49840	Marinobacter_hydrocarbonoclasticus_STW2	Marinobacter_lipoliticus_BF04_CF-4	Marinobacter_lipolyticus_SM19	Marinobacter_lutaoensis_T5054	Marinobacter_manganoxydans_MnI7-9	Marinobacter_mobilis_GCMCC_1_7059	Marinobacter_nanhaiticus_D15-8W	Marinobacter_nitrareduscens_AK21	Marinobacter_pelagius_CGMCC_1_6775	Marinobacter_persicus_IBRC-M_10445	Marinobacter_psychrophilus_20041	Marinobacter_salarius_SMR5	Marinobacter_salexigens_strain_HJR7	Marinobacter_salinus_Hb8	Marinobacter_santoriniensis_NKSG1	Marinobacter_segnicrescens_CGMCC_1_6489	Marinobacter_sp_AC-23	Marinobacter_sp_ANT_B65	Marinobacter_sp_BSs20148	Marinobacter_sp_C18	Marinobacter_sp_C1S70	Marinobacter_sp_CP1	Marinobacter_sp_CPC8	Marinobacter_sp_DG879	Marinobacter_sp_DSM_26291	Marinobacter_sp_DSM_26671	Marinobacter_sp_EhC06	Marinobacter_sp_EhN04	Marinobacter_sp_ELB17	Marinobacter_sp_EN3	Marinobacter_sp_ES_042	Marinobacter_sp_ES_048	Marinobacter_sp_ES-1	Marinobacter_sp_EVN1	Marinobacter_sp_FDB33	Marinobacter_sp_HK15	Marinobacter_sp_HL-58	Marinobacter_sp_IN6	Marinobacter_sp_LQ44	Marinobacter_sp_LV10MA510-1	Marinobacter_sp_LV10R510-11A	Marinobacter_sp_LV10R510-8	Marinobacter_sp_LV10R520-4	Marinobacter_sp_LVR2A5A20	Marinobacter_sp_MCTG268	Marinobacter_sp_N4	Marinobacter_sp_P4B1	Marinobacter_sp_PWS21	Marinobacter_sp_tcs-11	Marinobacter_sp_UBA2698	Marinobacter_sp_UBA3604	Marinobacter_sp_UBA4489	Marinobacter_sp_X15-166B	Marinobacter_sp_YWL01	Marinobacter_subterrani_JG233	Marinobacter_vinifirmus_FB1	Marinobacter_zhejiangensis_CGMCC_1_7061
AA1_3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA12	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0
AA2	2	2	3	2	0	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	4	2	2	2	3	3	0	2	2	2	2	2	3	3	2	2	3	2	3	2	2	2	3	2	2	2	2	2	2	3	2	2	2	5	2	2	6	2	3	2	2	2	2	0	3	2	0	2	2	2	2
AA3	2	2	2	1	3	2	4	2	2	2	2	2	2	2	1	1	3	1	2	5	4	2	1	2	1	2	2	2	1	1	2	0	1	3	2	4	3	3	3	2	2	2	2	2	2	0	1	2	4	3	2	2	2	2	2	2	3	2	3	2	1	1	3	2	3	4	0	4	2	1	1
AA3_2	4	2	1	1	1	0	0	1	3	5	1	1	2	2	2	0	2	1	4	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	2	4	2	2	3	3	2	2	0	2	3	3	1	1	1	1	1	4	2	0	2	1	0	2	1	2	2	3	2	1	2	4	0	3	1	0	0
AA4	1	0	0	1	2	2	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	2	2	3	2	1	1	1	1	1	1	1	1	2	3	1	1	1	1
AA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AA5_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AA6	4	4	2	2	4	3	3	3	3	4	3	4	3	3	3	2	3	2	3	3	3	2	3	1	2	2	3	2	2	4	3	3	2	2	3	3	3	2	3	3	5	5	2	3	3	3	3	3	4	2	3	4	3	2	2	2	2	2	2	3	3	2	3	2	3	3	4	4	4	3	1
AA7	1	1	1	1	2	1	2	1	1	1	2	2	2	2	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	0	1	2	1	2	1	1	1	1	1	2	2	2	2	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	2	0	2	2	2	1	1	3	2	1	0	1
CBM11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CBM12	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	2	0	0
CBM13	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
CBM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CBM2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM20	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CBM22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CBM23	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CBM32	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
CBM34	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
