Habitat	IJSEM_year	article_doi	16S_rDNA_accession_number	DNA_GC_content_mol	oxygen_preference	mean_length_microns	mean_width_microns	motility	spore_production	Metabolism_assays	Genus_name	species_name	strain_name	pH_optimum_for_growth	pH_range_at_which_growth_occurred	temperature_optimum_for_growth_degC	temperature_range_at_which_growth_occurred_degC	optimal_NaCl_concentration_for_growth_	NaCl_concentration_range_at_which_growth_occurred_	pigment_production	cell_shape	cell_aggregation	article_first_page	culture_collection_codes	Sole_carbon_substrate_use	genome_accession_number	gram_status	If_'other'_was_chosen_above__please_enter_a_habitat_below	The_paper_included_Biolog_results
freshwater_river__lake__pond	2008	10.1099_ijs.0.65700_0	60.2	DQ987877	aerobic	1.05	0.7	motile__but_unspecified_structure	not_indicated	catalase_positive__H2S_production__indole_production__nitrate_reduction_to_nitrite__oxidase_positive	Halorubrum	luteum	CGSA15	9.75	7.5_10.5	35	17_41	24.07	14.5_30.16	yes	not_indicated	not_indicated	1705	CGMCC_1.6783_CECT_7303	glucose__lactose__maltose__mannitol__mannose__sorbitol		negative		No
soil	2006	10.1099_ijs.0.63862_0	200233	71	aerobic			non_motile	yes		Catellatospora	bangladeshensis	2_7023	6.8_7.2	6.8_7.2	25_30	25_30	0	0	yes	rod	chain	393	JCM12949_DSM44899	arabinose__galactose__glucose__lactose__maltose__mannose__melibiose__rhamnose__salicin__sucrose__trehalose__xylose		positive		No
other	2009	10.1099_ijs.0.001123_0	_	67	aerobic			not_indicated	no	aesculin_hydrolysis__oxidase_positive	Burkholderia	contaminans	J2956T			36	30_42			yes	rod	not_indicated	102	LMG23361T_CCUG55526T	adipate__adonitol__arabinose__caprate__citric_acide_citrate__gelatin__gluconic_acid__glucose__lactose__malate__maltose__mannitol__mannose__phenylacetate__sucrose__xylose		negative	sheep_milk	No
soil	2009	10.1099_ijs.0.001123_0	_	67	aerobic			not_indicated	no	aesculin_hydrolysis__nitrate_reduction_to_nitrite__oxidase_positive	Burkholderia	lata	383T			33.5	30_37			yes	rod		102	ATCC17760T_LMG22485T_CCUG55525T	adipate__adonitol__arabinose__caprate__citric_acide_citrate__gelatin__gluconic_acid__glucose__lactose__malonic_acid_malonate__maltose__mannitol__mannose__phenylacetate__sucrose__xylose		negative		No
built_environment	2005	10.1099_ijs.0.63649_0	_AB043852	39.6	aerobic	2.5	0.35	flagella	yes	catalase_positive__nitrate_reduction_to_nitrite	Bacillus	cellulosilyticus	N_4T	9.5	08_Oct	37	20_40	7.5	0_13	yes	rod	clump	2309	JCM9156T_DSM2522T	cellobiose__fructose__glucose__lactose__maltose__mannose__salicin__sucrose__trehalose__Tween_20__Tween_40__Tween_60		positive		Yes
built_environment	2005	10.1099_ijs.0.63649_0	_AB043858	34.4	aerobic	3.5	0.7	flagella	yes	catalase_positive__nitrate_reduction_to_nitrite	Bacillus	akibai	_1139T_	9.5	08_Oct	37	20_45	4.5	0_9	yes	rod	clump	2309	JCM9157T_ATCC43226T	arabinose__cellobiose__fructose__galactose__glucose__maltose__mannitol__mannose__salicin__sorbitol__sucrose__trehalose__Tween_20__Tween_40__Tween_60		positive		Yes
other	2004	10.1099_ijs.0.03050_0	_AB111849	30		18	0.24	flagella			Borrelia	turcica	IST7T_				34_39				rod		1649	JCM11958T_DSM16138T				hard_tick	No
soil	2005	10.1099_ijs.0.02982_0	_AB112081	69	aerobic			non_motile	yes		Asanoa	iriomotensis	TT97_02T			25	20_30		Šæ4		not_indicated	chain	725	NBRC100142T_DSM44745T	arabinose__galactose__glucose__maltose__mannitol__mannose__melibiose__raffinose__rhamnose__xylose		positive		No
other	2008	10.1099_ijs.0.65314_0	_AB166879	63.5	facultative_anaerobe	1.2_2	0.3_0.5	non_motile	no	aesculin_hydrolysis__nitrate_reduction_to_nitrite__oxidase_positive	Castellaniella	caeni	Ho_11	6.5_7	5_8.5	30	Oct_37	5	5	yes	rod	chain	2141	KCTC12197_LMG23411	3_hydroxybutyrate__acetate__adipate__adonitol__alanine__alanine__arabinose__arginine__asparagine__aspartic_acid_aspartate__caprate__cellobiose__formic_acid__fucose__galactose__glucose__glutamic_acid__glycerol__histidine__lactate__malate__phenylacetate__proline__propionic_acid_propionate__serine__threonine		negative	sludge	No
wastewater	2005	10.1099_ijs.0.63459_0	_AB180738	36.2	aerobic	3.5	0.4	non_motile	no	catalase_positive__oxidase_positive__urease_positive	Flavobacterium	granuli	Kw05T			27.5	15_37	1	<2	yes	rod	not_indicated	747	KCTC12201T_IAM15099T	glucose__maltose__mannose__N_acetylgulcosamine__proline__propionic_acid_propionate		negative		No
other	2007	10.1099_ijs.0.64741_0	_AB182324	43	facultative_anaerobe		0.5_0.75	not_indicated	no		Streptococcus	_orisuis	NUM_1001T_			37				yes	cocci	chain	1272	JCM14035T_DSM18307T	cellobiose__fructose__galactose__glucosamine__glucose__lactose__maltose__mannitol__mannose__melibiose__raffinose__salicin__sorbitol__sucrose__trehalose		positive	oral_cavities_in_pigs	No
other	2007	10.1099_ijs.0.64817_0	_AB189298	43.3	aerobic	1.0_2.9	0.5_1.0	non_motile	yes	aesculin_hydrolysis__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Halobacillus	profundi	IS_Hb4T_	7.5_8.0	5.5_10	25	Sep_47	10	0.5_30	yes	rod	chain	1243	JCM14154T_DSM18394T	fructose__maltose__mannitol__mannose__raffinose__rhamnose__sorbitol__sucrose__trehalose		positive	deep_sea_carbonate_rock	Yes
marine_sediment	2005	10.1099_ijs.0.63689_0	_AB193748	60.5	facultative_anaerobe	2.25	0.35	flagella	not_indicated	aesculin_hydrolysis__H2S_production__oxidase_positive	Ferrimonas	marina	A4D_4T	7.5	6.0_11.0	27	15_37	3	1.5_3.5	yes	rod	clump	1851	MBIC06480T_DSM16917T	acetate__dextrin__glucose__lactate__maltose		negative		Yes
other	2006	10.1099_ijs.0.63931_0	_AB205566	47	aerobic	1_1.2	0.5_0.7	flagella	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Shewanella	hafniensis	P010	7	7	25	Apr_25	0_6	0_6	yes	rod	chain	243	ATCCBAA_1207_NBRC100975	citric_acide_citrate__gluconic_acid__glucose__lactate__malate__maltose__N_acetylgulcosamine	AB208056_	negative	marine_fish	No
soil	2008	10.1099_ijs.0.64431_0	_AB245343	69.2	aerobic	1_1.2	0.2_0.3	motile__but_unspecified_structure	no	catalase_positive__oxidase_positive	Sphingopyxis_	ginsengisoli	Gsoil_250	7	5_8.5	30	Apr_42	0_5	0_5	yes	rod	chain	2342	KCTC12582_LMG23390	3_hydroxybutyrate__adipate__alanine__alanine__asparagine__cellobiose__fucose__galactose__glucose__glutamic_acid__histidine__lactate__leucine__malate__maltose__proline__propionic_acid_propionate__rhamnose__succinic_acid_succinate__tryptophan__valerate		negative		No
soil	2009	10.1099_ijs.0.004945_0	_AB245362	68.7	aerobic			non_motile	no	aesculin_hydrolysis__catalase_positive__gelatinase__oxidase_positive	Dokdonella	ginsengisoli	Gsoil_191T	6.75	5.75_9.75	30	15_42		4	yes	rod		1947	5KCTC12564T_DSM17954T_CCUG52462T	acetate__arabinose__asparagine__aspartic_acid_aspartate__fructose__glucose__glutamic_acid__lactate__proline__serine__tryptophan__valerate__xylose		negative		No
seawater	2008	10.1099_ijs.0.65210_0	_AB286025	70	aerobic	0.8_1.3	0.6_1	non_motile	no	catalase_positive__nitrate_reduction_to_nitrite	Marihabitans	asiaticum	HG667	9	9	18_34	18_34	0_7	0_7	yes	ovoid_coccobacillus	chain	2429	MBIC07497_DSM18935	galactose__glucose__trehalose		positive		No
other	2009	10.1099_ijs.0.005611_0	_AB360448	74.4	aerobic	1.45	0.4	non_motile	no	catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Iamia	majanohamensis	F12T_	7	06_Sep	29	15_40				rod	clump	869	NBRC102561T_DSM19957T	arabinose__arginine__galactose__gelatin__mannose__ornithine__rhamnose__xylose		positive	sea_cucumber_epidermis	No
other	2010	10.1099_ijs.0.019307_0	_AB365975_	43.7	facultative_anaerobe	01_Mar	0.3_0.4	non_motile	no		Lactobacillus	odoratitofui	YIT_11304	7	4.5_8.5	30	15_40	01_Jul	01_Jul	yes	rod	chain	2903	JCM15043_BCRC17810_DSM19909	arabinose__galactose__gluconic_acid__glucose__lactose__maltose__melibiose__N_acetylgulcosamine__ribose__xylose		positive	stinky_tofu_brine	No
human___fecal	2008	10.1099_ijs.0.2008_000810_0	_AB370249_	51.9	anaerobic	0.8_2	0.4_0.9	non_motile	no	acid_phosphatase__alkaline_phosphatase	Dialister	succinatiphilus	YIT_11850	7	7	37	37	0	0	yes	cocci	chain	2716	DSM21274_JCM15077	lactose		negative	human_faeces	No
other	2010	10.1099_ijs.0.013722_0	_AB371717	61.4	anaerobic		2	non_motile	no		Halarchaeum	acidiphilum	MH1_52_1	4.4._4.5	04_Jun	37	15_45	21_24	18_30	no	ovoid_coccobacillus	chain	2513	JCM16109_DSM22442_CECT7534	arabinose__cellobiose__fructose__galactose__glucose__glycerol__raffinose__sucrose__xylose		negative	solar_salt	No
