Igene	accession	hmmsource
AA1	unknown	unknown
AA10	unknown	unknown
AA11	unknown	unknown
AA12	unknown	unknown
AA13	unknown	unknown
AA2	unknown	unknown
AA3	unknown	unknown
AA4	unknown	unknown
AA5	unknown	unknown
AA6	unknown	unknown
AA7	unknown	unknown
AA8	unknown	unknown
AA9	unknown	unknown
CBM1	pfam00734	Modules_of_approx._40_residues_found_almost_exclusively_in_fungi._The_cellulose-binding_function_has_been_demonstrated_in_many_cases,_and_appears_to_be_mediated_by_three_aromatic_residues_separated_by_about_10.4_angstrom_and_which_form_a_flat_surface._The_only_non-fungal_occurence_of_CBM1_is_in_an_algal_non-hydrolytic_polysaccharide-binding_protein_which_is_composed_of_four_repeated_CBM1_modules._Binding_to_chitin_has_been_demonstrated_in_one_case.
CBM10	pfam02013	Modules_of_approx._50_residues._The_cellulose-binding_function_has_been_demonstrated_in_one_case.
CBM11	pfam03425	Modules_of_approx._180-200_residues._The_CBM11_of_Clotridium_thermocellum_Cel26A-Cel5E_has_been_shown_to_bind_both_beta-1,4-glucan_and_beta-1,3-1,4-mixed_linked_glucans.
CBM12	pfam02839	Modules_of_approx._40-60_residues._The_majority_of_these_modules_is_found_among_chitinases_where_the_function_is_chitin-binding._Distantly_related_to_the_CBM5_family.
CBM13	pfam00652	Modules_of_approx._150_residues_which_always_appear_as_a_threefold_internal_repeat._The_only_apparent_exception_to_this,_xylanase_II_of_Actinomadura_sp._FC7_(GenBank_U08894),_is_in_fact_not_completely_sequenced._These_modules_were_first_identified_in_several_plant_lectins_such_as_ricin_or_agglutinin_of_Ricinus_communis_which_bind_galactose_residues._The_three-dimensional_structure_of_a_plant_lectin_has_been_determined_and_displays_a_pseudo-threefold_symmetry_in_accord_with_the_observed_sequence_threefold_repeat._These_modules_have_since_been_found_in_a_number_of_other_proteins_of_various_functions_including_glycoside_hydrolases_and_glycosyltransferases._While_in_the_plant_lectins_this_module_binds_mannose,_binding_to_xylan_has_been_demonstrated_in_the_Streptomyces_lividans_xylanase_A_and_arabinofuranosidase_B._Binding_to_GalNAc_has_been_shown_for_the_corresponding_module_of_GalNAc_transferase_4._For_the_other_proteins,_the_binding_specificity_of_these_modules_has_not_been_established._The_pseudo_three-fold_symmetry_of_the_CBM13_module_has_now_been_confirmed_in_the_3-D_structure_of_the_intact,_two-domain,_xylanase_of_Streptomyces_olivaceoviridis.
CBM14	pfam01607	Modules_of_approx._70_residues._The_chitin-binding_function_has_been_demonstrated_in_several_cases._These_modules_are_found_attached_to_a_number_of_chitinase_catalytic_domains,_but_also_in_non-catalytic_proteins_either_in_isolation_or_as_multiple_repeats.
CBM15	pfam03426	Binding_to_xylan_and_xylooligosaccharides_has_been_demonstrated_in_the_case_of_Xyn10C_of_Cellvibrio_mixtus.
CBM16	pfam02018	Carbohydrate-binding_module_16._Binding_to_cellulose_and_glucomannan_demonstrated_[B._Bae_et_al_(2008)_J_Biol_Chem._283:12415-25_(PMID:_18025086)]
CBM17	pfam03424	Modules_of_approx._200_residues._Binding_to_amorphous_cellulose,_cellooligosaccharides_and_derivatized_cellulose_has_been_demonstrated.
CBM18	smart00270	Modules_of_approx._40_residues._The_chitin-binding_function_has_been_demonstrated_in_many_cases._These_modules_are_found_attached_to_a_number_of_chitinase_catalytic_domains,_but_also_in_non-catalytic_proteins_either_in_isolation_or_as_multiple_repeats.
CBM19	pfam03427	Modules_of_60-70_residues_with_chitin-binding_function.
CBM2	pfam00553	Modules_of_approx._100_residues_and_which_are_found_in_a_large_number_of_bacterial_enzymes._The_cellulose-binding_function_has_been_demonstrated_in_many_cases._Several_of_these_modules_have_been_shown_to_also_bind_chitin_or_xylan.
CBM20	pfam00686	The_granular_starch-binding_function_has_been_demonstrated_in_several_cases._Interact_strongly_with_cyclodextrins._Often_designated_as_starch-binding_domains_(SBD).
CBM21	pfam03370	Modules_of_approx._100_residues._The_granular_starch-binding_function_has_been_demonstrated_in_one_case._Sometimes_designated_as_starch-binding_domains_(SBD).
CBM22	pfam02018	A_xylan_binding_function_has_been_demonstrated_in_several_cases_and_affinity_with_mixed_beta-1,3/beta-1,4-glucans_in_one._In_several_cases_a_thermostabilizing_effect_has_also_been_seen.
CBM23	pfam03425	Mannan-binding_function_demonstrated_in_one_case.
CBM24	self-built	alpha-1,3-glucan_(mutan)-binding_function_demonstrated_in_two_cases_(PMID:10636904)
CBM25	pfam03423	Starch-binding_function_demonstrated_in_one_case.
CBM26	self-built	Starch-binding_function_demonstrated_in_two_cases.
CBM27	pfam09212	Mannan-binding_function_demonstrated_in_two_cases
CBM28	pfam03424	The_module_from_the_endo-1,4-glucanase_of_Bacillus_sp._1139_binds_to_non-crystalline_cellulose,_cellooligosaccharides,_and_beta-(1,3)(1,4)-glucans
CBM29	self-built	Binding_to_mannan/glucomannan_has_been_demonstrated.
CBM3	pfam00942	Modules_of_approx._150_residues_found_in_bacterial_enzymes._The_cellulose-binding_function_has_been_demonstrated_in_many_cases._In_one_instance_binding_to_chitin_has_been_reported.
CBM30	pfam02927	Binding_to_cellulose_has_been_demonstrated_for_the_N-terminal_module_of_Fibrobacter_succinogenes_CelF.
CBM31	pfam11606	Binding_to_beta-1,3-xylan_has_been_demonstrated_for_the_C-terminal_module_of_the_beta-1,3-xylanase_of_Alcaligenes_sp._XY234.
CBM32	pfam00754	Binding_to_galactose_and_lactose_has_been_demonstrated_for_the_module_of_Micromonospora_viridifaciens_sialidase_(PMID:_16239725)._Binding_to_polygalacturonic_acid_has_been_shown_for_a_Yersinia_member_(PMID:_17292916)._Binding_to_LacNAc_(beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine)_has_been_shown_for_an_N-acetylglucosaminidase_from_Clostridium_perfingens_(PMID:_16990278).
CBM34	cd02857	Modules_of_approx._120_residues._Granular_starch-binding_function_has_been_demonstrated_in_the_case_of_Thermoactinomyces_vulgaris_R-47_alpha-amylase_1_(TVAI).
CBM35	pfam03422	Modules_of_approx._130_residues._A_module_that_is_conserved_in_three_Cellvibrio_xylan-degrading_enzymes_binds_to_xylan_and_the_interaction_is_calcium_dependent,_while_a_module_from_a_Cellvibrio_mannanase_binds_to_decorated_soluble_mannans_and_mannooligosaccharides._A_module_in_a
CBM36	pfam03422	Modules_of_approx._120-130_residues_displaying_structural_similarities_to_CBM6_modules._The_only_CBM36_currently_characterised,_that_from_Paenbacillus_polymyxa_xylanase_43A,_shows_calcium-dependent_binding_of_xylans_and_xylooligosaccharides._X-ray_crystallography_shows_that_there_is_a_direct_interaction_between_calcium_and_ligand.
CBM37	smart00060	Modules_of_approx._100_residues,_conserved_in_numerous_R._albus_polysaccharide-degrading_enzymes_and_other_proteins_from_this_bacterium.__Several_members_of_CBM37_have_been_shown_to_exhibit_rather_broad_binding_specificity_to_xylan,_chitin,_microcrystalline_and_phosphoric-acid_swollen_cellulose,_as_well_as_more_heterogeneous_substrates,_such_as_alfalfa_cell_walls,_banana_stem_and_wheat_straw.
CBM38	self-built	The_inulin-binding_function_has_been_demonstrated_in_the_case_of_the_cycloinulo-oligosaccharide_fructanotransferase_from_Paenibacillus_macerans_(Bacillus_macerans)_by_Lee_et_al._(2004)_FEMS_Microbiol_Lett_234:105-10._(PMID:15109727).
CBM39	self-built	Modules_generally_found_at_the_N-terminus_of_a_GH16_module_(itself_frequently_lacking_a_catalytic_machinery)_and_more_seldomly_in_isolation._The_beta-1,3-glucan_binding_function_has_been_demonstrated,_along_with_binding_to_lipopolysaccharide_and_lipoteichoic_acid.
CBM4	pfam02018	Modules_of_approx._150_residues_found_in_bacterial_enzymes._Binding_of_these_modules_has_been_demonstrated_with_xylan,_beta-1,3-glucan,_beta-1,3-1,4-glucan,_beta-1,6-glucan_and_amorphous_cellulose_but_not_with_crystalline_cellulose.
CBM40	pfam02973	Modules_of_approx._200_residues,_found_at_the_N-terminus_of_GH33_sialidases._Can_also_be_found_inserted_in_the_beta-propeller_of_GH33_sialidases._The_sialic_acid_binding_function_has_been_demonstrated_for_the_N-terminal_CBM40_of_Vibrio_cholerae_sialidase_(Moustafa_et_al._(2004)_J_Biol_Chem_279:40819-26)_(PMID:_15226294).
CBM41	pfam03714	Modules_of_approx._100_residues_found_in_primarily_in_bacterial_pullulanases._The_N-terminal_module_from_Thermotoga_maritima_Pul13_has_been_shown_to_bind_to_the_alpha-glucans_amylose,_amylopectin,_pullulan,_and_oligosaccharide_fragments_derived_from_these_polysaccharides_(Lammerts_van_Bueren_et_al._(2004)_Biochemistry_43:15633-42)_(PMID:_15581376).
CBM42	pfam05270	Modules_of_approx._160_residues_found_mostly_at_the_C-terminus_of_GH54_catalytic_domains._Binding_to_arabinofuranose_(present_in_arabinoxylan)_has_been_demonstrated.
CBM43	pfam07983	Modules_of_approx._90-100_residues_found_at_the_C-terminus_of_GH17_or_GH72_enzymatic_modules_and_also_sometimes_isolated._CBM43_modules_sometimes_carry_a_C-terminal_membrane_anchor._The_beta-1,3-glucan_binding_function_has_been_demonstrated_with_the_olive_pollen_protein_Ole_e_10.
CBM44	pfam00801	The_C-terminal_CBM44_module_of_the_Clostridium_thermocellum_enzyme_has_been_demonstrated_to_bind_equally_well_cellulose_and_xyloglucan
CBM45	self-built	Modules_of_approx.__100_residues,_found_at_the_N-terminus_of_plastidial_alpha-amylases_and_of_alpha-glucan,_water_dikinases._Starch-binding_activity_demonstrated_in_the_case_of_potato_alpha-glucan,_water_dikinase.
CBM46	pfam03442	Modules_of_approx.__100_residues,_found_at_the_C-terminus_of_several_GH5_cellulases._Cellulose-binding_function_demonstrated_in_one_case.
CBM47	pfam00754	Modules_of_approx_150_residues._Fucose-binding_activity_demonstrated
CBM48	pfam02922	Modules_of_approx._100_residues_with_glycogen-binding_function,_appended_to_GH13_modules._Also_found_in_the_beta_subunit_(glycogen-binding)_of_AMP-activated_protein_kinases_(AMPK)
CBM49	pfam09478	Modules_of_approx._100_residues_found_at_the_C-terminus_of_plant_GH9_enzymes._Distantly_related_to_CBM2_modules._Binding_to_crystalline_cellulose_demonstrated_in_the_case_of_Solanum_lycopersicum_Cel8_enzyme_(SlCel9C1).
CBM5	pfam02839	Modules_of_approx._60_residues_found_in_bacterial_enzymes._Chitin-binding_described_in_several_cases._Distantly_related_to_the_CBM12_family.
CBM50	pfam01476	Modules_of_approx._50_residues_found_attached_to_various_enzymes_from_families_GH18,_GH19,_GH23,_GH24,_GH25_and_GH73,_i.e._enzymes_cleaving_either_chitin_or_peptidoglycan._Binding_to_chitopentaose_demonstrated_in_the_case_of_Pteris_ryukyuensis_chitinase_A_[Ohnuma_T_et_al._(2008)_J._Biol._Chem._283:5178-87_(PMID:_18083709)]._CBM50_modules_are_also_found_in_a_multitude_of_other_enzymes_targeting_the_petidoglycan_such_as_peptidases_and_amidases._These_enzymes_are_not_reported_in_the_list_below.
CBM51	pfam08305	Modules_of_approx._150_residues_found_attached_to_various_enzymes_from__families_GH2,_GH27,_GH31,_GH95,_GH98_and_GH101_._Binding_to_galactose_and_to_blood_group_A/B-antigens_demonstrated_in_the__case_of_C._perfringens_GH95CBM51_and_GH98CBM51_respectively_[Gregg_KJ_et_al._(2008)_J._Biol._Chem._283:12604-13_PMID:_18292090].
CBM52	pfam10645	Modules_of_approx._60_residues_attached_to_a_few_GH81_enzymes_but_present_in_other_proteins._Binding_to_beta-1,3-glucan_demonstrated_for__Schizosaccharomyces_pombe_972h-_endo-1,3-beta-glucanase_Eng1_[Martin-Quadrado_et_al.,_Mol._Microbiol._(2008)_69:188-200_PMID:18466295]
CBM53	pfam03423	Starch-binding_function_demonstrated_by_Valdez_et_al._(2008)_[PMID:_18260645]
CBM54	self-built	Binding_to_xylan,_yeast_cell_wall_glucan_and_chitin_shown_in_Dvortsov_et_al.,_Microbiology_UK_(2009)_in_press.
CBM55	self-built	Binding_to_chitin_demonstrated_in_the_case_of_the_CBM55_of_Entamoeba_histolytica_chitinase_(Van_Dellen_et_al._(2002)_Infect_Immun._70:3259Ã¢â‚¬â€œ3263;_PMID:_12011021).
CBM56	self-built	beta-1,3-glucan_binding_function_demonstrated_by_Yamamoto_et_al._(1998)_FEBS_Letters_433:41-43_[PMID:_9738929]
CBM57	pfam11721	Created_from_reading_Schallus_et_al_(2008)_Mol_Biol_Cell._19:3404-3414_[PMID:_18524852]_and_finding_related_domains_attached_to_various_glycosidases.
CBM58	self-built	The_CBM58_module_of_the_Bacteroides_thetaiotaomicron_SusG_protein_has_been_shown_to_bind_maltoheptaose
CBM59	self-built	Binding_to_mannan,_xylan,_and_cellulose_demonstrated_for_the_CBM59_of_ManF-X10_xylanase_from_an_environmental_genomic_DNA_library_(Li_et_al._(2009)_World_Journal_of_Microbiology_and_Biotechnology_25:2071-2078;_doi:10.1007/s11274-009-0111-6)
CBM6	pfam03422	Modules_of_approx._120_residues._The_cellulose-binding_function_has_been_demonstrated_in_one_case_on_amorphous_cellulose_and_beta-1,4-xylan._Some_of_these_modules_also_bind_beta-1,3-glucan,_beta-1,3-1,4-glucan,_and_beta-1,4-glucan.
CBM60	self-built	Modules_of_approx_120_residues_usually_found_appended_to_xylanases._The_xylan-binding_function_and_the_relatedness_(circular_permutation)_to_family_CBM36_has_been_demonstrated_[PMID:_20659893].
CBM61	self-built	Modules_of_approx._150_residues_found_appended_to_GH16,_GH30,_GH31,_GH43,_GH53_and_GH66_catalytic_domains._A_beta-1,4-galactan_binding_function_has_been_demonstrated_for_the_CBM60_of_Thermotoga_maritima_GH53_galactanase_[PMID:_20826814].
