,I,X,IV,-,XII,VI,VIII,V,XI,IX,XIV,XIII,III,VII
Marinobacter_adhaerens_HP15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinobacter_adhaerens_strain_PBVC038,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinobacter_algicola_DG893,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marinobacter_antarcticus_CGMCC1_10835,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marinobacter_aromaticivorans_strain_D15_8P,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marinobacter_daepoensis_DSM_16072,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marinobacter_dagiaonensis_CGMCC_1_9167,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marinobacter_excellens_HL_55,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marinobacter_excellens_LAMA_842,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marinobacter_flavimaris,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinobacter_guaonensis_CGCC_1_6294,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marinobacter_guineae_strain_M3B,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marinobacter_hydrocarbonoclasticus_ASM1536,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marinobacter_hydrocarbonoclasticus_ATCC_49840,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marinobacter_hydrocarbonoclasticus_STW2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marinobacter_lipoliticus_BF04_CF_4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marinobacter_lipolyticus_SM19,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marinobacter_lutaoensis_T5054,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marinobacter_manganoxydans_MnI7_9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinobacter_mobilis_GCMCC_1_7059,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Marinobacter_nanhaiticus_D15_8W,0,0,0,0,0,0,0,0,0,0,0,1,0,0
