genomes markers marker_sets Completeness Contamination Strain_heterogeneity Genome_size ambiguous_bases scaffolds contigs N50 N50contigs Mean_scaffold_length Mean_contig_length Longest_scaffold Longest_contig. GC GC_std Coding_density Translation_table predicted_genes total_length percent_completion percent_redundancy gc_content num_genes avg_gene_length num_genes_per_kb group2
Marinobacter_adhaerens_HP15 263 506 232 99.53 0.11 0 4651725 0 3 3 4421911 4421911 1550575 1550575 4421911 4421911 56.86 3.89 91 11 4354 4651725 99.2805755396 2.87769784173 0.568598530653 4353 974.382494831 0.935781887364 adhaerens
Marinobacter_adhaerens_strain_PBVC038 263 506 232 99.87 0 0 4246508 0 21 21 1000299 1000299 202214 202214 1250826 1250826 57.19 2.62 91.3 11 3897 4246508 98.5611510791 0.719424460432 0.57188471092 3896 996.753080082 0.917459710426 adhaerens
Marinobacter_algicola_DG893 263 506 232 99.57 0.43 66.67 4413003 0 104 104 79366 79366 42432 42432 494029 494029 56.98 1.68 91.58 11 4114 4413003 99.2805755396 3.59712230216 0.569829433608 4106 985.462737457 0.930432179629 algicola
Marinobacter_antarcticus_CGMCC1_10835 263 507 232 100 0.09 0 3740786 0 11 11 2431840 2431840 340071 340071 2431840 2431840 54.86 2.36 91.43 11 3470 3740786 99.2805755396 0.719424460432 0.548641649108 3440 992.729651163 0.919592834233 antarcticus
Marinobacter_aromaticivorans_strain_D15_8P 263 507 232 100 0.19 0 4110204 0 47 47 280517 280517 87451 87451 624860 624860 55.88 2.64 91.15 11 3796 4110204 99.2805755396 0.719424460432 0.558816302062 3778 991.20301747 0.919175787868 antarcticus
Marinobacter_daepoensis_DSM_16072 263 507 232 100 0 0 3830061 40 16 16 943888 943888 239378 239378 1045162 1045162 56.76 1.62 91.85 11 3527 3830061 98.5611510791 0 0.567601065373 3515 1000.88620199 0.917739952445 other
Marinobacter_dagiaonensis_CGMCC_1_9167 263 507 232 100 0.78 0 3933786 3451 8 14 2794580 547758 491723 280738 2794580 1023309 60.18 2.56 89.45 11 3527 3933786 100 0.719424460432 0.601775930042 3558 994.956155143 0.904472180236 other
Marinobacter_excellens_LAMA_842 263 507 232 100 0.86 100 4377629 4877 59 59 145824 145824 74197 74197 482650 482650 57.43 3.05 90.76 11 4029 4377629 99.2805755396 2.15827338129 0.57433922619 4046 988.351705388 0.924244608211 excellens
Marinobacter_flavimaris 263 506 232 100 0.22 100 4463800 152 65 66 394355 394355 68673 67631 768252 768252 57.11 3.95 91.05 11 4137 4463800 99.2805755396 0.719424460432 0.571051973632 4148 982.223722276 0.929253102738 adhaerens
Marinobacter_guaonensis_CGCC_1_6294 263 506 232 100 0 0 3839018 510 9 11 2894534 2894534 426557 348955 2894534 2894534 59.89 2.9 91.43 11 3434 3839018 100 2.15827338129 0.598926457884 3459 1020.97311362 0.901011664962 other
Marinobacter_guineae_strain_M3B 263 506 232 100 0 0 4458884 30 28 28 1376314 1376314 159245 159245 1720445 1720445 57.05 4.78 91.16 11 4158 4458884 98.5611510791 2.15827338129 0.570484030201 4153 979.911389357 0.931398977861 other
Marinobacter_hydrocarbonoclasticus_ASM1536 263 507 232 100 0.5 0 4779762 0 3 3 4326849 4326849 1593254 1593254 4326849 4326849 56.93 2.74 90.79 11 4458 4779762 100 3.59712230216 0.56927060385 4453 976.241634853 0.931636345073 hydrocarbo
Marinobacter_hydrocarbonoclasticus_ATCC_49840 263 507 232 100 0.07 0 3989480 0 1 1 3989480 3989480 3989480 3989480 3989480 3989480 57.43 0 91.59 11 3651 3989480 100 0 0.574252534165 3655 1001.5493844 0.916159499484 hydrocarbo
Marinobacter_hydrocarbonoclasticus_STW2 263 507 232 100 0 0 4219269 3607 21 21 3387647 3387647 200917 200917 3387647 3387647 57.04 2.81 90.62 11 3931 4219269 99.2805755396 1.43884892086 0.57043354045 3929 975.360397048 0.931203959738 excellens
Marinobacter_lipoliticus_BF04_CF_4 263 506 232 100 0.54 0 3633797 4537 136 139 70489 70487 26719 26109 225700 225698 54.7 4.65 88.46 11 3757 3633797 100 0.719424460432 0.546971283402 3684 870.824918567 1.01381557638 psychro
Marinobacter_lipolyticus_SM19 263 506 232 100 0.07 0 4023208 150 43 43 201201 201201 93562 93562 683264 683264 56.75 3.78 91.7 11 3658 4023208 99.2805755396 0 0.567457391865 3654 1011.39573071 0.908230446947 lipo
Marinobacter_lutaoensis_T5054 263 507 232 99.56 0.72 0 3827309 0 25 25 362020 362020 153092 153092 768595 768595 63.23 4.55 91.56 11 3460 3827309 100 1.43884892086 0.632282891191 3507 1007.37040205 0.916309605522 other
Marinobacter_manganoxydans_MnI7_9 263 506 232 100 0 0 4549590 0 88 88 143400 143400 51699 51699 451260 451260 57.29 3.22 91.31 11 4219 4549590 98.5611510791 3.59712230216 0.572888765801 4219 986.414079166 0.927336309426 adhaerens
Marinobacter_mobilis_GCMCC_1_7059 263 507 232 100 0.45 50 3971609 2635 26 29 348931 348931 152754 136861 542794 542794 58.41 3.25 90.74 11 3613 3971609 99.2805755396 0 0.584103851524 3614 1000.29413392 0.909958659072 sedim
Marinobacter_nanhaiticus_D15_8W 263 507 232 100 0.69 0 5358309 0 14 14 2116327 2116327 382736 382736 2295149 2295149 58.53 2.02 87.8 11 4825 5358309 100 2.15827338129 0.585349221182 4834 975.618121638 0.902150286592 other
Marinobacter_nitrareduscens_AK21 263 507 232 100 0.09 0 3890033 0 22 22 552815 552815 176819 176819 969006 969006 56.66 1.97 92.31 11 3514 3890033 99.2805755396 0 0.566628612148 3512 1023.11446469 0.902820104611 other
Marinobacter_pelagius_CGMCC_1_6775 263 507 232 100 0.09 0 3800146 0 16 16 508037 508037 237509 237509 929368 929368 59.38 4.49 91.17 11 3490 3800146 99.2805755396 0 0.593815342884 3515 990.588904694 0.924964461892 other
Marinobacter_persicus_IBRC_M_10445 263 507 232 99.57 0 0 3158780 1065 24 25 253034 253034 131615 126308 421549 421549 58.37 4.07 91.35 11 2917 3158780 100 2.15827338129 0.583683771335 2945 985.723599321 0.932321972407 other
Marinobacter_psychrophilus_20041 263 505 231 99.99 0 0 3998597 0 1 1 3998597 3998597 3998597 3998597 3998597 3998597 53.84 0 89.06 11 3657 3998597 100 0.719424460432 0.53844861085 3597 987.193494579 0.899565522607 psychro
Marinobacter_salarius_SMR5 263 506 232 100 0.56 0 4630160 0 2 2 4386892 4386892 2315080 2315080 4386892 4386892 56.99 2.35 91.43 11 4287 4630160 99.2805755396 4.31654676259 0.569880522487 4272 991.803370787 0.92264630164 algicola
Marinobacter_salexigens_strain_HJR7 263 507 232 100 0.11 0 3820421 0 30 30 506073 506073 127347 127347 1079339 1079339 53.71 5.81 91.26 11 3472 3820421 99.2805755396 0 0.537063323649 3460 1007.03757225 0.905659350108 antarcticus
