ID	Name	Category	Type	Components	Marinobacter_sp_ES_048	Marinobacter_adhaerens_HP15	Marinobacter_adhaerens_strain_PBVC038	Marinobacter_algicola_DG893	Marinobacter_antarcticus_CGMCC1_10835	Marinobacter_aromaticivorans_strain_D15_8P	Marinobacter_daepoensis_DSM_16072	Marinobacter_dagiaonensis_CGMCC_1_9167	Marinobacter_sp_EN3	Marinobacter_sp_ES_1	Marinobacter_sp_EVN1	Marinobacter_excellens_HL_55	Marinobacter_excellens_LAMA_842	Marinobacter_flavimaris	Marinobacter_guaonensis_CGCC_1_6294	Marinobacter_guineae_strain_M3B	Marinobacter_hydrocarbonoclasticus_ASM1536	Marinobacter_hydrocarbonoclasticus_ATCC_49840	Marinobacter_hydrocarbonoclasticus_STW2	Marinobacter_lipoliticus_BF04_CF_4	Marinobacter_lipolyticus_SM19	Marinobacter_lutaoensis_T5054	Marinobacter_sp_LV10R510_8	Marinobacter_manganoxydans_MnI7_9	Marinobacter_mobilis_GCMCC_1_7059	Marinobacter_nanhaiticus_D15_8W	Marinobacter_nitrareduscens_AK21	Marinobacter_pelagius_CGMCC_1_6775	Marinobacter_persicus_IBRC_M_10445	Marinobacter_psychrophilus_20041	Marinobacter_salarius_SMR5	Marinobacter_salexigens_strain_HJR7	Marinobacter_salinus_Hb8	Marinobacter_santoriniensis_NKSG1	Marinobacter_segnicrescens_CGMCC_1_6489	Marinobacter_sp_AC_23	Marinobacter_sp_ANT_B65	Marinobacter_sp_BSs20148	Marinobacter_sp_C18	Marinobacter_sp_C1S70	Marinobacter_sp_CP1	Marinobacter_sp_CPC8	Marinobacter_sp_DG879	Marinobacter_sp_DSM_26291	Marinobacter_sp_DSM_26671	Marinobacter_sp_EhC06	Marinobacter_sp_EhN04	Marinobacter_sp_ELB17	Marinobacter_sp_ES_042	Marinobacter_sp_FDB33	Marinobacter_sp_IN6	Marinobacter_sp_LQ44	Marinobacter_sp_LV10MA510_1	Marinobacter_sp_LV10R510_11A	Marinobacter_sp_LV10R520_4	Marinobacter_sp_LVR2A5A20	Marinobacter_sp_MCTG268	Marinobacter_sp_N4	Marinobacter_sp_P4B1	Marinobacter_sp_PWS21	Marinobacter_zhejiangensis_CGMCC_1_7061
M00165	Reductive_pentose_phosphate_cycle_(Calvin_cycle)	Carbon_fixation	Pathway	11	72.7	72.7	72.7	72.7	72.7	72.7	72.7	63.6	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	63.6	72.7	72.7	72.7	72.7	72.7	63.6	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7
M00166	Reductive_pentose_phosphate_cycle_ribulose-5P_=>_glyceraldehyde-3P	Carbon_fixation	Pathway	4	75	75	75	75	75	75	75	50	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	50	75	75	75	75	75	50	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
M00167	Reductive_pentose_phosphate_cycle_glyceraldehyde-3P_=>_ribulose-5P	Carbon_fixation	Pathway	7	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4	71.4
M00168	CAM_(Crassulacean_acid_metabolism)_dark	Carbon_fixation	Pathway	2	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	50	50	50	50	50	50	100	50	50	50	50	50	50	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
M00169	CAM_(Crassulacean_acid_metabolism)_light	Carbon_fixation	Pathway	2	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
M00172	C4-dicarboxylic_acid_cycle_NADP_-_malic_enzyme_type	Carbon_fixation	Pathway	4	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	25	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
M00171	C4-dicarboxylic_acid_cycle_NAD_-_malic_enzyme_type	Carbon_fixation	Pathway	7	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3	14.3
M00170	C4-dicarboxylic_acid_cycle_phosphoenolpyruvate_carboxykinase_type	Carbon_fixation	Pathway	4	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
M00173	Reductive_citrate_cycle_(Arnon-Buchanan_cycle)	Carbon_fixation	Pathway	10..12	72.7	72.7	72.7	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	72.7	72.7	72.7	72.7	72.7	63.6	63.6	63.6	72.7	72.7	63.6	63.6	72.7	63.6	63.6	63.6	81.8	63.6	63.6	63.6	63.6	72.7	72.7	72.7	63.6	63.6	63.6	63.6	63.6	72.7	63.6	63.6	63.6	72.7	72.7	72.7	63.6	72.7	63.6	72.7	63.6	63.6	63.6	63.6	63.6	63.6	72.7	63.6	63.6	63.6
M00376	3-Hydroxypropionate_bi-cycle	Carbon_fixation	Pathway	13	23.1	23.1	23.1	30.8	23.1	38.5	23.1	30.8	23.1	23.1	23.1	23.1	23.1	23.1	23.1	30.8	23.1	23.1	23.1	38.5	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	23.1	38.5	23.1	23.1	23.1	30.8	23.1	38.5	23.1	30.8	23.1	38.5	30.8	30.8	30.8	38.5	23.1	23.1	38.5	23.1	23.1	23.1	23.1	30.8	23.1	23.1	23.1	30.8	23.1	23.1	38.5	23.1
