"Marinobacter_adhaerens_HP15" "Marinobacter_sp_tcs_11" "Marinobacter_excellens_HL_55" "Marinobacter_sp_UBA4489" "Marinobacter_sp_CPC8" "Marinobacter_sp_UBA3604" "Marinobacter_salarius_SMR5" "Marinobacter_sp_UBA2698" "Marinobacter_sp_BSs20148" "Marinobacter_sp_ES_042" "Marinobacter_sp_DSM_26671" "Marinobacter_santoriniensis_NKSG1" "Marinobacter_sp_ES_048" "Marinobacter_sp_AC_23" "Marinobacter_sp_EN3" "Marinobacter_subterrani_JG233" "Marinobacter_zhejiangensis_CGMCC_1_7061" "Marinobacter_nitrareduscens_AK21" "Marinobacter_algicola_DG893" "Marinobacter_sp_DSM_26291" "Marinobacter_sp_EhN04" "Marinobacter_lipoliticus_BF04_CF_4" "Marinobacter_sp_IN6" "Marinobacter_sp_ELB17" "Marinobacter_mobilis_GCMCC_1_7059" "Marinobacter_dagiaonensis_CGMCC_1_9167" "Marinobacter_flavimaris" "Marinobacter_sp_HL_58" ".faa" "Marinobacter_sp_ES_1" "Marinobacter_sp_LV10R520_4" "Marinobacter_sp_LQ44" "Marinobacter_daepoensis_DSM_16072" "Marinobacter_sp_HK15" "Marinobacter_antarcticus_CGMCC1_10835" "Marinobacter_lutaoensis_T5054" "Marinobacter_sp_LV10R510_11A" "Marinobacter_sp_C1S70" "Marinobacter_hydrocarbonoclasticus_STW2" "Marinobacter_guineae_strain_M3B" "Marinobacter_excellens_LAMA_842" "Marinobacter_sp_FDB33" "Marinobacter_sp_P4B1" "Marinobacter_sp_DG879" "Marinobacter_adhaerens_strain_PBVC038" "Marinobacter_sp_CP1" "Marinobacter_sp_YWL01" "Marinobacter_sp_EVN1" "Marinobacter_psychrophilus_20041" "Marinobacter_sp_LV10MA510_1" "Marinobacter_sp_C18" "Marinobacter_sp_LV10R510_8" "Marinobacter_sp_MCTG268" "Marinobacter_aromaticivorans_strain_D15_8P" "Marinobacter_hydrocarbonoclasticus_ATCC_49840" "Marinobacter_manganoxydans_MnI7_9" "Marinobacter_sp_ANT_B65" "Marinobacter_sp_N4" "Marinobacter_pelagius_CGMCC_1_6775" "Marinobacter_segnicrescens_CGMCC_1_6489" "Marinobacter_nanhaiticus_D15_8W" "Marinobacter_persicus_IBRC_M_10445" "Marinobacter_lipolyticus_SM19" "Marinobacter_sp_LVR2A5A20" "Marinobacter_hydrocarbonoclasticus_ASM1536" "Marinobacter_salinus_Hb8" "Marinobacter_sp_X15_166B" "Marinobacter_vinifirmus_FB1" "Marinobacter_sp_PWS21" "Marinobacter_salexigens_strain_HJR7" "Marinobacter_sp_EhC06" "Marinobacter_guaonensis_CGCC_1_6294"
"Marinobacter_adhaerens_HP15" 100 80.08 78.93 96.81 79.06 79.35 79.58 70.37 74.94 97.04 96.54 79.96 93.94 79.79 80.27 87.25 73.67 80.75 79.55 79.3 93.83 76.08 96.44 74.92 73.93 73 97.18 79.28 78.75 79.86 75.09 79.53 78.63 79.49 81.06 78.06 79.5 80.17 79.48 88.27 79.82 80.76 79.62 81.86 93.28 96.68 98.41 80.14 74.59 75.13 79.35 79.34 79.52 80.43 80.31 96.31 79.83 93.37 82.45 72.82 71.09 78.24 80.35 79.7 79.95 83.75 72.44 79.76 78 79.5 93.82 87.05
"Marinobacter_sp_tcs_11" 80.08 100 82.41 80.48 76.61 76.9 76.21 69.79 73.87 80.38 80.68 78.75 79.8 77.37 97.29 79.58 73.25 78.83 76.93 77.07 80.62 74.42 80.05 73 73.28 72.45 80.78 76.92 76.56 85.38 73.88 84.48 86.99 76.86 77.89 76.96 76.9 97.04 84.08 79.66 84.46 78.86 85.08 78.52 80.44 80.64 80.07 97.11 73.59 73.99 76.11 76.8 76.85 77.94 97.32 80.69 77.59 80.22 80.33 73.1 70.21 80.39 78.07 76.54 97.15 79.16 71.84 85.24 77.07 77.17 80.62 79.99
"Marinobacter_excellens_HL_55" 78.93 82.41 100 79.27 75.85 76.08 76.09 68.79 73.45 79.26 79.13 77.79 78.97 76.71 82.51 78.6 72.57 77.63 76.16 76.21 79.31 74.49 79.09 73.19 72.51 71.78 79.24 76.49 75.7 83.21 73.51 86.4 81.18 76.08 77.38 76.4 76.69 82.54 86.32 79.27 86.72 77.73 82.95 77.57 79.31 79.28 78.96 82.33 73.05 73.65 75.85 76.61 76.14 77.26 82.42 79.27 76.63 79.3 79.16 72.03 69.07 79.19 77.41 76.75 82.31 78.5 71.29 82.93 75.92 76.7 79.31 78.68
"Marinobacter_sp_UBA4489" 96.81 80.48 79.27 100 79.45 79.7 79.52 70.65 74.93 96.19 97.74 80.14 93.87 80.06 80.59 87.32 73.73 81.06 79.63 79.71 93.85 76.08 97.54 75 73.81 73.39 97.87 79.74 79.11 80.49 75.03 80.36 78.91 79.83 81.19 78.68 79.95 80.23 80.07 88.24 80.26 81.53 80.48 82.41 92.94 100 97.01 80.35 74.84 75.19 80.23 79.83 79.69 80.67 80.35 97.64 80.31 93.75 82.89 73.66 70.52 78.55 80.44 79.7 80.71 83.86 72.36 80.31 78.81 79.77 93.85 87.17
"Marinobacter_sp_CPC8" 79.06 76.61 75.85 79.45 100 99.71 97.67 71.04 73.26 78.96 79.8 76.78 79.39 76.68 77.26 78.92 73.78 77.18 95.41 98 79.21 74.51 79.24 73.36 74.01 72.86 79.16 85.88 97.76 77.38 73.51 77.03 75.77 97.77 77.66 75.76 76.4 77 76.73 79.39 76.72 80.78 77.2 78.29 79.23 79.42 78.89 76.82 73.12 73.52 98.02 76.25 97.52 76.97 76.54 79.21 76.91 79.27 78.39 73.1 70.61 76.01 80.37 76.38 76.99 78.98 72.5 77.13 77.51 76.32 79.21 78.77
"Marinobacter_sp_UBA3604" 79.35 76.9 76.08 79.7 99.71 100 98.09 71.29 73.45 79.2 79.94 77.12 79.63 76.89 77.52 79.15 73.99 77.44 95.76 98.42 79.46 74.62 79.55 73.63 74.22 73.08 79.47 86.21 98.2 77.53 73.76 77.22 76.03 98.12 77.89 75.98 76.69 77.24 77.02 79.63 77.04 81.12 77.48 78.52 79.43 79.68 79.18 77.11 73.29 73.78 98.41 76.52 97.91 77.23 76.83 79.42 77.1 79.52 78.65 73.29 70.84 76.27 80.6 76.63 77.1 79.28 72.71 77.35 77.84 76.6 79.45 79.01
"Marinobacter_salarius_SMR5" 79.58 76.21 76.09 79.52 97.67 98.09 100 71.28 73.7 79.32 79.58 77.18 79.8 76.93 77.34 79.18 74.06 77.37 96.06 98.39 79.67 74.09 79.16 73.09 74.27 73.04 79.42 86.39 98.35 77.36 73.77 77.07 76.1 98.88 77.86 75.3 76.87 77.08 76.97 79.62 77.08 81.05 77.3 78.46 79.85 79.54 79.29 76.97 73.33 73.93 97.24 76.63 98.05 77.15 76.89 79.39 77.11 79.58 78.75 73.12 71.07 76.01 80.67 76.77 76.27 79.2 72.7 77.44 77.88 76.85 79.66 79.08
"Marinobacter_sp_UBA2698" 70.37 69.79 68.79 70.65 71.04 71.29 71.28 100 68.07 70.11 70.56 69.75 70.09 69.66 69.75 70.3 70.13 70.08 71.16 71.13 70.49 69.81 70.2 68.14 69.87 69.19 70.55 70.21 70.84 70.22 68.34 69.89 69.04 70.91 70.16 69.89 69.84 69.8 69.35 70.26 69.72 71.34 70.24 70.45 70.45 70.97 70.28 69.65 68.01 68.4 71.45 69.7 71 69.85 69.46 70.95 69.61 70.22 70.42 69.48 76.32 69.71 70.61 69.67 69.58 70.43 69.38 70.27 71.05 69.32 70.49 70.25
"Marinobacter_sp_BSs20148" 74.94 73.87 73.45 74.93 73.26 73.45 73.7 68.07 100 75.09 75 73.59 74.83 76.04 74.24 75.01 70.57 74.39 73.98 73.55 74.91 94.35 74.81 94.79 70.67 69.83 75.17 73.44 72.98 74.58 93.04 73.85 73.56 73.73 76.51 73.21 76.31 74.08 73.6 75.24 73.92 74.07 74.36 74.78 74.91 74.92 74.92 73.93 97.34 93.14 73.48 76.23 73.49 75.59 73.9 74.91 75.47 75.06 74.9 69.63 68.25 73.16 74.03 76.25 73.66 75.39 70.81 74.29 73.71 75.55 74.91 74.87
"Marinobacter_sp_ES_042" 97.04 80.38 79.26 96.19 78.96 79.2 79.32 70.11 75.09 100 96.1 80.01 93.92 80.24 80.55 87.12 73.57 81.07 79.36 79.23 93.52 75.92 95.86 74.87 74.11 73.23 96.57 79.66 78.57 80.22 74.94 80.01 78.83 79.44 81.14 78.64 80.05 80.3 80.12 87.96 80.2 81.04 79.95 81.99 92.76 96.1 96.92 80.13 74.89 75.16 79.45 79.84 79.29 80.59 80.22 95.89 80.17 93.09 82.41 73.12 70.42 77.91 80.53 79.82 80.41 83.67 72.63 79.96 77.99 79.65 93.52 86.95
