Bin_Id	Marker_lineage	genomes	markers	marker_sets	Completeness	Contamination	Strain_heterogeneity	Genome_size	ambiguous_bases	scaffolds	contigs	N50	N50contigs	Mean_scaffold_length	Mean_contig_length	Longest_scaffold	Longest_contig)	GC	GC_std	Coding_density	Translation_table	predicted_genes
Marinobacter_adhaerens_HP15	c_Gammaproteobacteria_(UID4444)	263	506	232	99.53	0.11	0	4651725	0	3	3	4421911	4421911	1550575	1550575	4421911	4421911	56.86	3.89	91	11	4354
Marinobacter_adhaerens_strain_PBVC038	c_Gammaproteobacteria_(UID4444)	263	506	232	99.87	0	0	4246508	0	21	21	1000299	1000299	202214	202214	1250826	1250826	57.19	2.62	91.3	11	3897
Marinobacter_algicola_DG893	c_Gammaproteobacteria_(UID4444)	263	506	232	99.57	0.43	66.67	4413003	0	104	104	79366	79366	42432	42432	494029	494029	56.98	1.68	91.58	11	4114
Marinobacter_antarcticus_CGMCC1_10835	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.09	0	3740786	0	11	11	2431840	2431840	340071	340071	2431840	2431840	54.86	2.36	91.43	11	3470
Marinobacter_aromaticivorans_strain_D15_8P	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.19	0	4110204	0	47	47	280517	280517	87451	87451	624860	624860	55.88	2.64	91.15	11	3796
Marinobacter_daepoensis_DSM_16072	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0	0	3830061	40	16	16	943888	943888	239378	239378	1045162	1045162	56.76	1.62	91.85	11	3527
Marinobacter_dagiaonensis_CGMCC_1_9167	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.78	0	3933786	3451	8	14	2794580	547758	491723	280738	2794580	1023309	60.18	2.56	89.45	11	3527
Marinobacter_excellens_HL_55	c_Gammaproteobacteria_(UID4444)	263	507	232	99.85	0.3	0	3782657	91	55	55	104335	104335	68775	68775	303589	303589	56.3	1.93	91.6	11	3496
Marinobacter_excellens_LAMA_842	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.86	100	4377629	4877	59	59	145824	145824	74197	74197	482650	482650	57.43	3.05	90.76	11	4029
Marinobacter_flavimaris	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0.22	100	4463800	152	65	66	394355	394355	68673	67631	768252	768252	57.11	3.95	91.05	11	4137
Marinobacter_guaonensis_CGCC_1_6294	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0	0	3839018	510	9	11	2894534	2894534	426557	348955	2894534	2894534	59.89	2.9	91.43	11	3434
Marinobacter_guineae_strain_M3B	c_Gammaproteobacteria_(UID4444)	263	506	232	100	0	0	4458884	30	28	28	1376314	1376314	159245	159245	1720445	1720445	57.05	4.78	91.16	11	4158
Marinobacter_hydrocarbonoclasticus_ASM1536	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.5	0	4779762	0	3	3	4326849	4326849	1593254	1593254	4326849	4326849	56.93	2.74	90.79	11	4458
Marinobacter_hydrocarbonoclasticus_ATCC_49840	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0.07	0	3989480	0	1	1	3989480	3989480	3989480	3989480	3989480	3989480	57.43	0	91.59	11	3651
Marinobacter_hydrocarbonoclasticus_STW2	c_Gammaproteobacteria_(UID4444)	263	507	232	100	0	0	4219269	3607	21	21	3387647	3387647	200917	200917	3387647	3387647	57.04	2.81	90.62	11	3931
Marinobacter_hydrocarbonoclasticus_UBA1145	c_Gammaproteobacteria_(UID4444)	263	507	232	97.08	1.8	0	4112115	19607	72	72	159822	159822	57112	57112	436230	436230	57.48	1.67	90.16	11	3834
