genes,COG_CATEGORY_ACC,COG_CATEGORY,COG_FUNCTION_ACC,COG_FUNCTION,Marinobacter_adhaerens_HP15,Marinobacter_adhaerens_strain_PBVC038,Marinobacter_algicola_DG893,Marinobacter_antarcticus_CGMCC1_10835,Marinobacter_aromaticivorans_strain_D15_8P,Marinobacter_daepoensis_DSM_16072,Marinobacter_dagiaonensis_CGMCC_1_9167,Marinobacter_excellens_LAMA_842,Marinobacter_flavimaris,Marinobacter_guaonensis_CGCC_1_6294,Marinobacter_guineae_strain_M3B,Marinobacter_hydrocarbonoclasticus_ASM1536,Marinobacter_hydrocarbonoclasticus_ATCC_49840,Marinobacter_hydrocarbonoclasticus_STW2,Marinobacter_lipoliticus_BF04_CF_4,Marinobacter_lipolyticus_SM19,Marinobacter_lutaoensis_T5054,Marinobacter_manganoxydans_MnI7_9,Marinobacter_mobilis_GCMCC_1_7059,Marinobacter_nanhaiticus_D15_8W,Marinobacter_nitrareduscens_AK21,Marinobacter_pelagius_CGMCC_1_6775,Marinobacter_persicus_IBRC_M_10445,Marinobacter_psychrophilus_20041,Marinobacter_salarius_SMR5,Marinobacter_salexigens_strain_HJR7,Marinobacter_salinus_Hb8,Marinobacter_santoriniensis_NKSG1,Marinobacter_sp_ANT_B65,Marinobacter_sp_BSs20148,Marinobacter_sp_C18,Marinobacter_sp_C1S70,Marinobacter_sp_CP1,Marinobacter_sp_CPC8,Marinobacter_sp_DSM_26291,Marinobacter_sp_DSM_26671,Marinobacter_sp_EN3,Marinobacter_sp_ES_042,Marinobacter_sp_ES_048,Marinobacter_sp_ES_1,Marinobacter_sp_EVN1,Marinobacter_sp_EhC06,Marinobacter_sp_EhN04,Marinobacter_sp_FDB33,Marinobacter_sp_HK15,Marinobacter_sp_HL_58,Marinobacter_sp_LQ44,Marinobacter_sp_LV10R510_11A,Marinobacter_sp_LV10R510_8,Marinobacter_sp_N4,Marinobacter_sp_P4B1,Marinobacter_sp_PWS21,Marinobacter_sp_X15_166B,Marinobacter_sp_tcs_11,Marinobacter_subterrani_JG233,Marinobacter_vinifirmus_FB1,Marinobacter_zhejiangensis_CGMCC_1_7061
PC_00000013,L,L,COG0776,Bacterial_nucleoid_DNA-binding_protein,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PC_00000015,N,N,COG1344|COG1344,Flagellin_and_related_hook-associated_protein_FlgL|Flagellin_and_related_hook-associated_protein_FlgL,2,2,2,2,2,2,2,2,3,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,0,2,2,2,2,2,2,4,2,2,2,0,0,2,2,3,0,2
PC_00000016,I,I,COG1960,Acyl-CoA_dehydrogenase_related_to_the_alkylation_response_protein_AidB,2,2,2,2,1,1,6,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2,0,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
PC_00000022,E,E,COG0410,ABC-type_branched-chain_amino_acid_transport_system__ATPase_component,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,3,2,1,2,1,1,2,1,2,2,1,1,3,3,1,2,2,1,2,2,2,1,2,2,1,2,1,1
PC_00000029,R,R,COG0491,Glyoxylase_or_a_related_metal-dependent_hydrolase__beta-lactamase_superfamily_II,2,1,0,1,1,1,1,2,1,1,3,2,2,1,1,1,2,1,1,1,1,3,1,1,2,1,1,2,1,1,3,2,1,2,2,1,2,4,3,1,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1
PC_00000031,I,I,COG0183,Acetyl-CoA_acetyltransferase,1,2,4,1,2,1,1,0,2,0,1,0,1,0,2,1,2,1,0,1,1,1,0,3,2,1,2,2,2,2,4,0,2,1,3,1,0,1,1,2,2,1,1,2,3,2,1,1,3,1,2,2,2,1,2,1,1
PC_00000034,U,U,COG0811,Biopolymer_transport_protein_ExbB/TolQ,2,2,2,1,1,2,0,1,2,1,2,2,2,1,0,2,2,3,2,2,3,2,0,0,2,1,2,1,1,0,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,2,0,2,1,1,2
PC_00000037,M,M,COG0682,Prolipoprotein_diacylglyceryltransferase,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,3,2,2,1,1,1,1,1,1,2,1
PC_00000038,X,X,COG3666,Transposase,0,0,2,2,0,3,0,1,0,0,3,1,2,2,3,6,0,1,0,7,0,0,5,2,0,0,7,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,0,1,2,2,0,1,1
PC_00000040,I,I,COG1960,Acyl-CoA_dehydrogenase_related_to_the_alkylation_response_protein_AidB,1,1,1,2,4,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,1,3,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,2,3,3,1,1,2,1
