genome 	 S 	 D 	 F 	 M 
Marinobacter_psychrophilus_20041	147	0	1	0
Marinobacter_sp_P4B1	148	0	0	0
Marinobacter_manganoxydans_MnI7_9	146	1	0	1
Marinobacter_subterrani_JG233	146	2	0	0
Marinobacter_sp_HL_58	145	2	0	1
Marinobacter_nanhaiticus_D15_8W	148	0	0	0
Marinobacter_sp_FDB33	148	0	0	0
Marinobacter_sp_EVN1	147	0	0	1
Marinobacter_sp_ANT_B65	148	0	0	0
Marinobacter_santoriniensis_NKSG1	148	0	0	0
Marinobacter_lutaoensis_T5054	146	0	0	2
Marinobacter_guaonensis_CGCC_1_6294	143	4	0	1
Marinobacter_sp_ES_048	148	0	0	0
Marinobacter_sp_ES_1	148	0	0	0
Marinobacter_excellens_LAMA_842	148	0	0	0
Marinobacter_sp_AC_23	135	0	7	6
Marinobacter_mobilis_GCMCC_1_7059	148	0	0	0
Marinobacter_sp_EhC06	146	2	0	0
Marinobacter_sp_N4	146	2	0	0
Marinobacter_mangaoxydans_MnI7_9	146	1	0	1
Marinobacter_sp_LV10MA510_1	145	3	0	0
Marinobacter_pelagius_strain_CGMCC_1_6775	146	1	0	1
Marinobacter_pelagius_CGMCC_1_6775	146	1	0	1
Marinobacter_sp_C1S70	147	1	0	0
Marinobacter_sp_LV10R510_11A	148	0	0	0
Marinobacter_flavimaris	148	0	0	0
Marinobacter_sp_HK15	145	3	0	0
Marinobacter_sp_CPC8	146	2	0	0
Marinobacter_sp_UBA2698	146	1	0	1
Marinobacter_sp_C18	146	2	0	0
Marinobacter_adhaerens_PBV038	146	0	0	2
Marinobacter_sp_MCTG268	142	5	1	0
Marinobacter_salinus_Hb8	148	0	0	0
Marinobacter_sp_CP1	146	2	0	0
Marinobacter_dagiaonensis_CGMCC_1_9167	148	0	0	0
Marinobacter_sp_ES_042	148	0	0	0
Marinobacter_lipoliticus_BF04_CF_4	147	1	0	0
Marinobacter_persicus_IBRC_M_10445	148	0	0	0
Marinobacter_sp_ELB17	143	2	2	1
Marinobacter_hydrocarbonoclasticus_ASM1536	148	0	0	0
Marinobacter_nitrareducens_AK21	148	0	0	0
Marinobacter_adhaerens_HP15	145	2	0	1
Marinobacter_sp_LV10R520_4	144	4	0	0
Marinobacter_adhaerens_strain_PBVC038	146	0	0	2
Marinobacter_lipolyticus_SM19	148	0	0	0
Marinobacter_nitrareduscens_AK21	148	0	0	0
Marinobacter_sp_tcs_11	148	0	0	0
Marinobacter_sp_X15_166B	148	0	0	0
Marinobacter_hydrocarbonoclasticus_STW2	147	0	0	1
Marinobacter_sp_LQ44	147	1	0	0
Marinobacter_vinifirmus_FB1	148	0	0	0
Marinobacter_salarius_SMR5	146	2	0	0
Marinobacter_hydrocarbonoclasticus_ATCC_49840	147	0	0	1
Marinobacter_sp_PWS21	148	0	0	0
Marinobacter_sp_IN6	139	6	2	1
Marinobacter_guineae_strain_M3B	146	2	0	0
Marinobacter_sp_DSM_26671	146	2	0	0
Marinobacter_daepoensis_DSM_16072	148	0	0	0
Marinobacter_sp_EhN04	146	2	0	0
Marinobacter_sp_EN3	148	0	0	0
Marinobacter_segnicrescens_CGMCC_1_6489	148	0	0	0
Marinobacter_adhaerens_HP15_ASM16629	145	2	0	1
Marinobacter_algicola_DG893	145	2	0	1
Marinobacter_sp_YWL01	146	2	0	0
Marinobacter_excellens_HL_55	134	1	0	13
Marinobacter_zhejiangensis_CGMCC_1_7061	147	0	1	0
Marinobacter_sp_UBA4489	137	2	0	9
Marinobacter_hydrocarbonoclasticus_VT8	148	0	0	0
Marinobacter_sp_BSs20148	148	0	0	0
Marinobacter_sp_DG879	148	0	0	0
Marinobacter_sp_LVR2A5A20	148	0	0	0
Marinobacter_antarcticus_CGMCC1_10835	148	0	0	0
Marinobacter_aromaticivorans_strain_D15_8P	148	0	0	0
Marinobacter_sp_UBA3604	144	2	2	0
Marinobacter_sp_DSM_26291	146	2	0	0
Marinobacter_sp_LV10R510_8	148	0	0	0
Marinobacter_salexigens_strain_HJR7	148	0	0	0
