samples	total_length	percent_completion	percent_redundancy	gc_content	num_genes	avg_gene_length	num_genes_per_kb
Marinobacter_adhaerens_HP15	4651725	99.2805755396	2.87769784173	0.568598530653	4353	974.382494831	0.935781887364
Marinobacter_adhaerens_strain_PBVC038	4246508	98.5611510791	0.719424460432	0.57188471092	3896	996.753080082	0.917459710426
Marinobacter_algicola_DG893	4413003	99.2805755396	3.59712230216	0.569829433608	4106	985.462737457	0.930432179629
Marinobacter_antarcticus_CGMCC1_10835	3740786	99.2805755396	0.719424460432	0.548641649108	3440	992.729651163	0.919592834233
Marinobacter_aromaticivorans_strain_D15_8P	4110204	99.2805755396	0.719424460432	0.558816302062	3778	991.20301747	0.919175787868
Marinobacter_daepoensis_DSM_16072	3830061	98.5611510791	0.0	0.567601065373	3515	1000.88620199	0.917739952445
Marinobacter_dagiaonensis_CGMCC_1_9167	3933786	100.0	0.719424460432	0.601775930042	3558	994.956155143	0.904472180236
Marinobacter_excellens_HL_55	3782657	91.3669064748	0.0	0.563030493057	3492	993.136597938	0.923160624926
Marinobacter_excellens_LAMA_842	4377629	99.2805755396	2.15827338129	0.57433922619	4046	988.351705388	0.924244608211
Marinobacter_flavimaris	4463800	99.2805755396	0.719424460432	0.571051973632	4148	982.223722276	0.929253102738
Marinobacter_guaonensis_CGCC_1_6294	3839018	100.0	2.15827338129	0.598926457884	3459	1020.97311362	0.901011664962
Marinobacter_guineae_strain_M3B	4458884	98.5611510791	2.15827338129	0.570484030201	4153	979.911389357	0.931398977861
Marinobacter_hydrocarbonoclasticus_ASM1536	4779762	100.0	3.59712230216	0.56927060385	4453	976.241634853	0.931636345073
Marinobacter_hydrocarbonoclasticus_ATCC_49840	3989480	100.0	0.0	0.574252534165	3655	1001.5493844	0.916159499484
Marinobacter_hydrocarbonoclasticus_STW2	4219269	99.2805755396	1.43884892086	0.57043354045	3929	975.360397048	0.931203959738
Marinobacter_lipoliticus_BF04_CF_4	3633797	100.0	0.719424460432	0.546971283402	3684	870.824918567	1.01381557638
Marinobacter_lipolyticus_SM19	4023208	99.2805755396	0.0	0.567457391865	3654	1011.39573071	0.908230446947
Marinobacter_lutaoensis_T5054	3827309	100.0	1.43884892086	0.632282891191	3507	1007.37040205	0.916309605522
Marinobacter_manganoxydans_MnI7_9	4549590	98.5611510791	3.59712230216	0.572888765801	4219	986.414079166	0.927336309426
Marinobacter_mobilis_GCMCC_1_7059	3971609	99.2805755396	0.0	0.584103851524	3614	1000.29413392	0.909958659072
Marinobacter_nanhaiticus_D15_8W	5358309	100.0	2.15827338129	0.585349221182	4834	975.618121638	0.902150286592
Marinobacter_nitrareduscens_AK21	3890033	99.2805755396	0.0	0.566628612148	3512	1023.11446469	0.902820104611
